time	zone	type	price
2017-11-27T18:04:13.000Z	us-east-1d	c4.4xlarge	0.2414
2017-11-27T17:59:59.000Z	us-east-1d	c4.4xlarge	0.2415
2017-11-27T17:56:49.000Z	us-east-1d	c4.4xlarge	0.2414
2017-11-27T17:56:33.000Z	us-east-1d	c4.4xlarge	0.2416
2017-11-27T17:55:39.000Z	us-east-1d	c4.4xlarge	0.2415
2017-11-27T17:51:29.000Z	us-east-1d	c4.4xlarge	0.2416
2017-11-27T17:50:27.000Z	us-east-1d	c4.4xlarge	0.2418
2017-11-27T17:47:33.000Z	us-east-1d	c4.4xlarge	0.2419
2017-11-27T17:45:05.000Z	us-east-1d	c4.4xlarge	0.2415
2017-11-27T17:44:15.000Z	us-east-1d	c4.4xlarge	0.2416
2017-11-27T17:43:09.000Z	us-east-1d	c4.4xlarge	0.2415
2017-11-27T17:42:43.000Z	us-east-1d	c4.4xlarge	0.2416
2017-11-27T17:38:47.000Z	us-east-1d	c4.4xlarge	0.2415
2017-11-27T17:37:38.000Z	us-east-1d	c4.4xlarge	0.2416
2017-11-27T17:33:41.000Z	us-east-1d	c4.4xlarge	0.2415
2017-11-27T17:33:39.000Z	us-east-1d	c4.4xlarge	0.2416
2017-11-27T17:33:36.000Z	us-east-1d	c4.4xlarge	0.2415
2017-11-27T17:29:58.000Z	us-east-1d	c4.4xlarge	0.2416
2017-11-27T17:28:14.000Z	us-east-1d	c4.4xlarge	0.2415
2017-11-27T17:27:06.000Z	us-east-1d	c4.4xlarge	0.2416
2017-11-27T17:24:02.000Z	us-east-1d	c4.4xlarge	0.2415
2017-11-27T17:17:48.000Z	us-east-1d	c4.4xlarge	0.2416
2017-11-27T17:16:48.000Z	us-east-1d	c4.4xlarge	0.2417
2017-11-27T17:12:38.000Z	us-east-1d	c4.4xlarge	0.2418
2017-11-27T17:12:30.000Z	us-east-1d	c4.4xlarge	0.2417
2017-11-27T17:12:20.000Z	us-east-1d	c4.4xlarge	0.2418
2017-11-27T17:11:46.000Z	us-east-1d	c4.4xlarge	0.2417
2017-11-27T17:10:28.000Z	us-east-1d	c4.4xlarge	0.2416
2017-11-27T17:09:18.000Z	us-east-1d	c4.4xlarge	0.2417
2017-11-27T17:08:20.000Z	us-east-1d	c4.4xlarge	0.2419
2017-11-27T17:08:18.000Z	us-east-1d	c4.4xlarge	0.2418
2017-11-27T17:06:18.000Z	us-east-1d	c4.4xlarge	0.2419
2017-11-27T17:03:12.000Z	us-east-1d	c4.4xlarge	0.242
